CLASSIC_SUBID,CURRENCY,UPCOMING_REBILL_TOTAL,UPCOMINGDISCOUNT
ZEwq9e8wT-qKuGOs7K5roQ,USD,18.34,0
oMFNK1AuQmaJFQ102Jwn4w,USD,18.6,0
7hs0qDkhThuVDyzRdKpACw,USD,19.99,0
raKUSe8lRRuL_uvxTWLwww,USD,18.68,0
wOW8glltR3CYqj3TPmUCeA,GBP,21,0
nvRHuNUiSu6jJ0LuXN2gOg,USD,9.99,0
q_TIyfxsQdqGbgACv6X3Lg,USD,19.99,0
9NajfogoTyye4MrQPpBFvQ,USD,18.86,0
mBRqWC4USx2DQu3qR2SiEA,USD,19.99,0
Ekb6jafcTT2f7GXC87OLOA,USD,19.99,0
XkMZGTP0QbqoGCrGTQsJZg,USD,19.99,0
3LmqFKonTZOAMQ0wm3UDkw,USD,19.99,0
1x2Arm_DTTmgPKM_W6UcXg,USD,18.86,0
8SkofXqjQH-hxfRSdVxapg,USD,19.99,0
2WjxLmuUQ_CY7__pctOYfA,USD,19.99,0
ADJu5ZNlRG6w81uvHRBEcw,USD,19.99,0
129lh_wpTPufPU8vrXgIKQ,USD,19.99,0
Q6RH89jfQN69juF2If1UOw,USD,19.99,0
wCA7YIdBTeWEdWqLBZC3cg,USD,18.86,0
uSeWi7GHRrWEeDaH7JOrGQ,USD,19.99,0
0QmkmEE0TZaRgFfox0dMsg,USD,18.86,0
FvdKqIJfQcqeyHcRCMoJ2g,USD,19.99,0
KUr-9DrVQv6K-_spX2n0FQ,USD,19.99,0
P2zrkNvBQ8qARctVeT4wug,USD,19.99,0
lkI6VIdwQ96jGkmysq2a7A,USD,18.86,0
YW45aBpCSOKw-X_xi22t6Q,USD,18.42,0
C8iZs1yVQ9mbN-lFwgL1jg,USD,19.99,0
in2Biq1ASd6Bdas4Tn7qDA,USD,19.99,0
3gv39mUyQfyFTBHQYcgPpg,USD,19.99,0
xoqIZAIdTVKaQ_RP7b_vFQ,USD,18.77,0
78X47v8gTEKxKnB3Q2u9pw,USD,18.51,0
B5aBS3m_Qa6ZTZGcDeyFWw,USD,19.99,0
UN2o_nV4QR-njnlnjyDlmg,USD,19.99,0
oAsFam-WRfamKaf2dyceow,USD,19.99,0
EbFT6FYdR7qXVbNO7-ifWA,USD,18.68,0
5s--KPf9RraacWt8kS_AOQ,USD,18.86,0
cZTRA1J-Tq6SHQOIpY2JNA,USD,19.99,0
kd35NBn7RzyKzlMETmznKw,USD,18.86,0
mFW4QWHzQdSaF63eUQvp9g,GBP,9.99,0
6xAGenb2Qt2-Cm7NkiqjOQ,USD,19.99,0
5lhbtz09RPS90kdU5fgdjw,USD,19.99,0
GAwx-qi2Tr2fIscLKavFAQ,USD,18.6,0
p5M2VQwuSfGSWk6415dDHQ,USD,19.99,0
jh-B_G5RTKGBn_Ajc29Peg,USD,19.99,0
Nk8-mzm8SpO_uSOVZ0gHvA,USD,19.99,0
QxBT8rR8TgGbLnPK_TciYw,USD,18.53,0
AfnXfub4T427mwHKi_tSCQ,USD,18.34,0
XTgYhIKJQWqg3Kfl6bu1Tw,EUR,24.99,0
Ttn6LOkmTfy2v0tEVltMYA,USD,18.6,0
58QoLmLQSAaI8jQO_aFWfA,USD,19.08,0
yXByaa1GRJmZHXuUQS7law,USD,19.99,0
V2oPpRatSeGXcJhaIunDrg,USD,19.99,0
cBnFlhR9RHSVIMidpiTNQw,USD,18.32,0
Dab7GpbGSuqzLP6pUA_BaQ,USD,19.99,0
zFqe2nTmTk2y0izLAkS5Kg,USD,19.99,0
-bDk521RSc-90VpA8K8Jsg,USD,19.99,0
I6CDxZ8eT9yRKh2WRKwNQA,USD,18.47,0
TQum_zHyQbiz9zAMMHaKog,USD,18.44,0
35ZPeoSeRZGCJJVbcl3kiQ,USD,19.99,0
WI78aqBITje8J18E7TW-pw,USD,18.86,0
Q33fA7qYTuS5lXKOoMo5kw,USD,19.99,0
AK1DxUGFQUuRmJkzVN960A,USD,9.99,0
VM0w0eBsQ5GguLVf8Z77fg,USD,18.64,0
Yj1Sggy3TE615Bnk4HDV-g,USD,18.68,0
CSd5PmiASh6iiiKYY7DLoA,MXN,391.99,0
ExTN5phaRl6BIS9v4-Nm2Q,USD,18.75,0
88Z2sinUQ_K7fOKXVHh7YQ,USD,14.99,0
ydchwU42T468UCpU2p6U4Q,USD,19.18,0
yYsLKxvuTCaFlNsTyCZkHA,USD,6.99,0
gvSEbTCOT0CoC_3naOmdQw,USD,18.68,0
aq1M24JMRcuPXaYRb4tICA,USD,19.99,0
hgLAieAHQWeGFjgkK3Ngpg,USD,18.68,0
fCaLiFBxSamrtfpzqSZNWQ,USD,19.99,0
G0ybFI_CRom1ndHI5Zhu1g,USD,18.64,0
4t4bcYIlTF2RQKz0ntqYvA,USD,18.59,0
qFR4CcvET325RihJCLLl9w,USD,19.99,0
6oJi2p5uSqWFma_HhjebEg,USD,18.64,0
ziFw75paQmitCk1rCKVixQ,USD,19.99,0
5hiWMBEqSMCdM78iFI6GLA,USD,19.99,0
sJitSWF3TJi191hQty7Wqw,USD,19.99,0
_5adXMqpQVyKFLWO5Z960g,USD,19.99,0
8tHai2f4Q1-AVI_aSC1OBw,USD,18.36,0
R024lKF0QoS7VF4as4yrVA,USD,19.99,0
7aphDOquRNqZg1mmTVw4hQ,USD,18.86,0
vMI2oWpdQ8uRuwsvL6RJUg,EUR,19.99,0
E0sWpHTXT6mezm4Hq8bXuA,GBP,18.99,0
GtCXrKUcSu-cEoNTKVcSQg,GBP,10.99,0
QPnS1AK1SDq_t-f1zf0ZjA,USD,18.47,0
IgV0usb3Sdq5GXrOOzzhzg,USD,19.99,0
ydV8_L-DQD2c3WCy1ju6DA,USD,19.99,0
XEHiTELiRteDcBN_9SFnsQ,USD,19.99,0
nYywkzo8S7iPD7vs3KoDqw,AUD,33.99,0
ZNSis3b7TKmFPnEtDC0vfw,USD,18.68,0
X2KrVqpXQ8-yuyirCkYsdg,GBP,23.99,0
G2TwF_bRTpOFYCvs0vOg9w,GBP,18.99,0
47RkFm6PRGuTH0L3ZOPdMA,USD,18.86,0
4UHUqd8ITciIQ_EMMIVlKA,USD,19.99,0
oGA8UFTVRwWOirpJduw5lA,USD,18.68,0
wpQVbHhXRy--MPNlkCN1Sg,USD,19.99,0
pE3VEoKGTl2NOurtRfNoIQ,USD,19.99,0
u7HTOYckRYKPo-3z1srjvw,USD,19.99,0
3VjkGmSjQFeNm5OhEi0Kwg,USD,19.99,0
juFdivH7Ryqxa9AQhFOkVQ,USD,19.99,0
cHfby74QS_q33OYu6z9AGQ,USD,19.99,0
-MGi7gtdTSumiFOtxy2Rig,USD,6.99,0
MLdo7AkLTl6ulbLZQwPP1A,USD,9.99,0
l88nx1iLR9mIK4I0fYvpTA,USD,19.99,0
sHKWjUGASO-3dxRrMYB_XQ,USD,19.99,0
D1GuqJxGSJO3A9b8QZGMdw,USD,19.99,0
Jk8Ww07wQriQal25ZuuiTQ,USD,19.99,0
piKNzxviRQmUZkyREzg7Zw,CAD,19.99,0
s3D3xAAEQc2TExlgbEAVEQ,USD,19.99,0
a3cBNWOHQ9Cp-fuG7HBZDw,USD,19.99,0
6B-jzFoeSNmaLsjJkj6Ekg,USD,19.99,0
x4aJ88ppTWuK3htlhXV1rw,GBP,18.99,0
xeyeRjPHSKy-CjOWHZ1ROw,USD,18.86,0
uq1lX34PTl6KMlex1dg2Kg,USD,19.99,0
79AHhvalT1-_dkzhCNpDKQ,USD,19.99,0
zFWNRgduRSScfNe2dw-LtQ,USD,19.99,0
7VV6OmdVQkyW1fiVJC6T4Q,USD,9.99,0
ieE0HC_dQcOks_YQ8bWiTw,USD,18.95,0
1KwrWxheQX-u6HsvLFLJbg,USD,19.99,0
imYz9pmLQYuUtyUkWfNY3Q,USD,9.99,0
OZoUP63JQjWcENrlyikYhA,USD,19.99,0
zdCPfpYiQt-hZdKsKb_IZg,CAD,27.99,0
l_I1ljpgQ1-8QFlVfJoEMg,USD,9.99,0
5Gr-GeQoRfCJNqQjhsNrCA,USD,19.99,0
YCsQFNEyTPqNqwd8jaCeuA,USD,18.64,0
U-V_puVqQfK47OirwUh_jw,USD,19.99,0
enewolrJSxKCroHU_fbYGQ,USD,19.99,0
Ecr9VCHxRqO-Iuls4on5Nw,USD,19.99,0
dRmuiKqZQhSdIzg7ZG2vQA,USD,19.99,0
Z4rOtoZuTnSXxbXdaQEVGA,USD,19.99,0
dxJPAbCWQImH_WmCS6MK4Q,USD,18.73,0
zUV6HLCqTemL84xbByv2VQ,USD,19.99,0
XA5BhyhTT06jk6VDCOzSAg,USD,9.99,0
YkrcSG5aTx-jjXxJZazYGQ,USD,18.86,0
n528nixbS3qhuH7bHsxtuA,USD,19.99,0
UDqx4DhfT-Gbw-w8uElaSA,USD,19.99,0
iMO5pcvVSK2n_UteflWXAA,USD,19.99,0
Aogobq38SL2MHdq_ssYjXw,USD,19.99,0
Y88nkqKzRK2pFprVj-sMyQ,USD,18.68,0
LM8ii6ZlRxG5a-eiTHfDXg,USD,19.99,0
OvXNqONWQWehRhA9xeaWAQ,USD,9.99,0
yBWDJyqIRsqXdYZDqcrAOw,USD,18.38,0
BZJeL18UTTKryexJtS18MA,USD,18.64,0
YVyz2p20QzarOXWPvZETzg,USD,18.64,0
VD38PyFLThGzU5taxIvFKQ,USD,18.68,0
ERMM-brOTUGhhNOC-qA_ew,USD,19.99,0
bWHU4cNDTB6J0s9d3pNQqA,USD,19.99,0
KevXUQbnQ8q5ubrx7ZnCJQ,USD,18.64,0
0ABgN5O5RIWV4SAUa2S_Qg,USD,18.4,0
ksyfBRbaTDKIccgtvWEdqA,USD,18.73,0
FLS2YN6ZRVKGwAiCrl6Dxw,USD,0.99,0
NAyPxv1ySpqZ07JyNQhj0Q,USD,19.99,0
7YW9yPOFSc6pLxtwkUcRPw,USD,19.99,0
wlSGHblDTeWzTRIyVvvKDA,USD,18.86,0
bsXKcoOjT9W2eX7xFQV53w,USD,19.99,0
ewrjYEBCS6K5lrsMFTR64g,USD,19.99,0
Pz_3h2_hSSu0AHSfGLdGrw,USD,9.99,0
SyymWHmdRTiYAD3YGr7YDg,USD,9.99,0
GM0Dxs50TGad1-QCMnVgcg,AUD,30.99,0
t-4IiAPQSWuTjBJ-9Ah3Lg,USD,0.99,0
yLoTQOBERge9itjIL8LKQw,USD,19.99,0
fMEyF699RzKtfemRQLBJBw,USD,9.99,0
gbCCZY4_QceOUhs5EKjCAQ,USD,9.99,0
jVtZG6RkSXKk07nwZdXDFg,USD,6.99,0
mgBaWezISDuFSplGk0Rq3A,USD,19.99,0
j6tOMC-0RlmTSnhgHrOtPA,USD,19.99,0
69FBcJggR-mfSTV6hUctbg,USD,19.99,0
NA1GMzdZT86vpLFX4fHiZA,USD,18.86,0
qZxhfgv6SqS7hvkU9b_wUA,USD,9.99,0
5sjfceKRTWOMU_uZBQ3lSA,CAD,25.99,0
eGYgP0W4R46vAuB08XYsLQ,USD,19.99,0
LTo7MQtvSgSLn0tGzxjqWg,USD,19.99,0
CJbhGPAuQ4uKXSnOl5y1qQ,USD,19.99,0
isIrryLnSziIEbUrcV8vrA,USD,19.99,0
CpXasljlT4GNMK9WNcxeow,USD,19.99,0
E_xfU_MjQiiMwLcFM8Zjtw,USD,19.99,0
5sXuMKwCQX-u6pEt2vRiMQ,USD,14.99,0
RVFKGvlaSQyqTcyilmmS2g,USD,19.99,0
ZDu-8iYISU2tlQ_aKalhaQ,AUD,30.99,0
6agfn8XYQxuRCj4uTtVzpQ,USD,19.99,0
suasSlH6R4S0xURKlq_4Hg,GBP,18.99,0
lNSVIAAMQS-ocrRxP8Dxzw,USD,9.99,0
tu-InRLYR9WGn_kSuZAcNA,USD,19.99,0
GtZrI-8fSnONjRl6ae8PCQ,USD,19.99,0
f2odeLpAQg254EMTNG6Xzw,USD,19.99,0
jIEWxkOMTvOpuZs2-FCTHg,USD,19.99,0
_QnX14lfSgyxTlglBJe8CA,USD,18.68,0
qR8v6ZIISA-dfbDrisIuhQ,EUR,19.99,0
itC2tHuWQIuD_LHqUhndzg,USD,18.51,0
5Dx6chKzRYq8lh8XoJrQKg,USD,19.99,0
LZRb9z1QQgyzXQWz7W7vFA,USD,19.99,0
YAtsPhOnRdSFQwVCbizUHA,USD,18.68,0
OYyqIqWlRs6_5m8FfKClpw,USD,19.99,0
PpqObiAdSGCJSClYyGUYpw,USD,19.99,0
dy83WffPTGKqNTljjoIIig,GBP,14.99,0
GEXZtWtWS1qywLkjYPsypw,USD,19.99,0
SUOPHnFnQHGu-KPO_BUrWw,USD,0.99,0
8bs_UCqwRuuomGGqFfoG3w,USD,19.99,0
wJA_V4PRTyKbN-el-kABnw,EUR,19.99,0
-9BVCxgZTKKLtJ4zcYtlQQ,USD,18.46,0
Bhw1eFkYSjC72J_i7MEinA,USD,18.4,0
JKJgiFJJQm6GXTpBVEEFYA,USD,0.99,0
3_mUUtAzTdmxKaRdTCpwsA,CAD,24.99,0
q7hnUDX_QQ6EvshQ4IB-hw,USD,19.99,0
Gh3y3oOhQCGVUXh2QmbCpw,USD,18.86,0
GyNJMFosQrq4FQeT6TKKPw,GBP,18.99,0
z0Y0Vdr-TqaNfe64NbwLVQ,USD,0.99,0
822J52psRoilLuhvUtVhYA,USD,19.99,0
hxmzEyI1TKCmZ394tqCWsA,USD,19.99,0
F2vZ8UI1TvSAOyfIuZAXAw,USD,9.99,0
LzTAgTDZTJ2QCagHSL8Frg,USD,18.81,0
1puBhLfYTwKrb7LNKsLWVA,USD,19.99,0
KQeCwSyBSAGkqE0HY-N_EA,USD,19.99,0
QBi7BmzbR5moML7gqlSb0Q,USD,19.99,0
tfaQGWVdTW64gx4CYCZAXQ,USD,9.99,0
nSAVTBfdQtuFNMwYAbt0HQ,USD,19.99,0
XsBpAJyrTjmJqxJOtyVy4w,USD,19.99,0
frC3Xwf0SHSS6K5ECtW0fQ,USD,9.99,0
dfLGEF1YQd2DlFKLo-zcRw,USD,18.68,0
J2FerrifTFmp1DX2bmBG_g,USD,18.42,0
uMosxqSTRBqJkbYpoJPZ-A,USD,19.99,0
aMRWrZjPSA2LVDm5WcYjeA,USD,19.99,0
FEQBnOZxSHS_PWhe6gAZRQ,GBP,14.99,0
OFQ5kYcyQu2Mz6CnFryq_g,USD,18.46,0
YF2Rv6NVRIWLR7XXrKpmzg,USD,18.6,0
fcQznl_kTwWi0--IFSL2_Q,USD,19.99,0
bd6xXUigTc6S4gGQ4UGfOQ,USD,18.3,0
5-TRlWXLS16i7HJtDVhZ3w,USD,19.99,0
ELmwQeybRhGPxd_M1jPlYA,USD,19.99,0
AHvgmGW_THarvUCNEVksDA,USD,19.99,0
7bp8OyyXTNSMkbg_x_IVHQ,USD,18.98,0
OCiaMV6dSJy1cpWYA-ZDDQ,USD,18.43,0
g2TG7kBUTcGlG5CrvcCz3A,USD,19.99,0
naFkg_CrRDO07enrD-qs5Q,USD,0.99,0
W54aHB01SfO5lO1zd6sqrg,USD,6.99,0
ayb9L2f2RTiIVgF0qpujcg,USD,9.9913,0
cecbHBZNRCGvOKKeOGGbJA,USD,19.99,0
PUiE6r_vT_OZQEPEL_WMzg,USD,19.99,0
LxUwX60mQ6SlfrCmJQqUiw,USD,19.99,0
ciauIvTSRtq-LKT0MQzyTw,USD,19.99,0
ieEB8wH2Tr6nA7x4KYph7g,USD,19.99,0
fouguViPS_-52pOqgrHU9g,USD,19.99,0
NP855crvR3yPNVOtUVlfcw,GBP,18.99,0
dL_Ksx46QjWLt-EUOQUxoA,USD,18.3,0
UYbXwj7ZSHi40CNZw7G33Q,USD,9.99,0
V3XZTebpQDqibCP1s1ddkA,CAD,25.21,0
lsBHlSTmT22YfxT5vOFMLw,USD,18.84,0
mMqBXUm1TTuut-tfciPtdA,USD,19.99,0
N0a3KTAzThCIERdkFDVdvQ,USD,19.99,0
oXy2tDY-Th-y2CteaZeTZw,USD,0.99,0
Wvq-sO1hSumd5oXNtJxVFA,USD,0.99,0
DBQ3uqGqQLWFhDrtAJ9LWQ,USD,19.99,0
y_1JNIq_Rr-Vbu-TMJAfdQ,USD,18.73,0
KsS7oS1HRRyXytCSiIJORA,USD,19.99,0
LEuU92GDQ62QNcyaCPkTIA,USD,6.99,0
DOWk-D2FRQ2SlaioCKcx_A,USD,18.86,0
34IYOAPzRgqcf-CtGtNykg,USD,19.99,0
iYBqfdTNSfeoM4HFnwCnxg,USD,19.99,0
IN4zjwmRTliSRPXd1hWlHA,USD,19.99,0
XbgdotzDS2y1u5hBOrAmdg,USD,19.99,0
cyrSkeUiQY2A0o0tBhkTjw,AUD,16.99,0
vpmxUKMlR1eyOYOnDHpJLQ,USD,19.99,0
KzXg13KPRxm59jhWtq8tpg,AUD,22.99,0
yMEfQVhpRBmXU3xVwR4LgA,USD,19.99,0
93ESUMI4SVGOUBHjiuWFeA,USD,9.99,0
oeSi41o4QD2uRzVL-vJ9Tw,CAD,38,0
5Q1-wDYvSSGHZNaBAjZYDQ,USD,18.47,0
hCn5QlygSLyL_1Zdy6QOZA,USD,19.99,0
8Yjo52QxTzelSbkIIM_Cgw,USD,19.99,0
pUI5IjCkT6-ewGEKnv0Dyw,USD,18.81,0
RBjC7wekTkitQoLtQQ8vLQ,USD,19.99,0
xHwJjQXJRMqbOqSdhdySvw,USD,18.75,0
h-VgNn25SPqSxKQkrIEhpg,USD,19.99,0
7MXsGvOWQmqEG2mxrovhng,USD,18.58,0
Zk0C3x1MSSSUCkV0UCGo8w,USD,18.86,0
-Ihy-ku7SR6MmoPkx4e5oQ,USD,18.98,0
aWzZ1NebQkSByfNPrWeL8w,USD,19.99,0
