SubscriptionId,RepricedUnitPrice,RepriceSubtotal,RepriceOverrideDiscount,"Initial Currency","Initial Price"
xl4rU06_SSGD3mBIoEy9iA,29.99,29.99,0.00,USD,19.99
fIxw--_lQBG7PZM2BZU2sQ,29.99,29.99,0.00,USD,18.36
KyCQFilhT4qxb6pfH0jGGg,44.6851,44.6851,0.00,AUD,34.99
JrAMjVS4RWa_HfGBoiQikQ,29.99,29.99,0.00,USD,19.99
rvWwGxDFTTesrN9GOHkhPg,29.99,29.99,0.00,USD,18.43
GoD4iFSLQ42FUFjz2YYLvw,29.99,29.99,0.00,USD,19.99
832Tv9sbSwCPOZ8MvGHExw,29.99,29.99,0.00,USD,18.47
AVZIKoumT-CCR0uN_4PINQ,29.99,29.99,0.00,USD,18.75
fGbCxi2lQqimNZCs1MlyGg,29.99,29.99,0.00,USD,19.99
HAoHuHSFS1Sc-MgkCWtujw,29.99,29.99,0.00,USD,18.86
YOiXqk5rSnikVz1_RlaBNQ,29.99,29.99,0.00,USD,18.73
k1kVRVafQdumMKPEnuoUBQ,29.99,29.99,0.00,USD,19.99
Ns31AAsURzyDAFQE5kt4Mw,29.99,29.99,0.00,USD,18.86
5Wx1Enf9TV-1IVczv9X75Q,29.99,29.99,0.00,USD,19.99
MybL6CI6Tf61i9zN9J-S3w,29.99,29.99,0.00,USD,19.99
Wm2MwF8zRHS6HWF5fFtRrg,29.99,29.99,0.00,USD,18.86
YyVRRFEhTBGLdrY2ZWW-eQ,29.99,29.99,0.00,USD,18.64
1baXiI3-QBO6pWG2UdnWXg,29.99,29.99,0.00,USD,18.86
ztLs92UeSzWuJBKJugWDyw,29.99,29.99,0.00,USD,19.99
9lZS9iAuSKqJFSjUILdrXw,26.991,26.991,0.00,EUR,21.99
wGjrlgScRcO2HJeL9iL8dg,29.99,29.99,0.00,USD,18.56
HiMvqecETdiVH7z0JfW5Rw,26.991,26.991,0.00,EUR,19.19
S2BbX-MdTI6f1IJcBwyeUQ,40.7864,40.7864,0.00,CAD,25.99
yv4y4q_MQkeymLEsuMOfOA,29.99,29.99,0.00,USD,18.68
yyO4o2NSRQWB4RKmLGYZIQ,29.99,29.99,0.00,USD,18.68
7iPF7vx8QCCiblciO3ZLvw,29.99,29.99,0.00,USD,19.99
sSMionUhShyi5ubZcYnQ9Q,29.99,29.99,0.00,USD,19.99
L4FqAW_kQ4uk9fbLCyAm2Q,29.99,29.99,0.00,USD,18.86
v193voLWSpKTS2M68BfUCw,29.99,29.99,0.00,USD,18.64
1ifyjEA0TkuH1q2fCIbLTQ,29.99,29.99,0.00,USD,19.99
nzwn5dZQSFW2PswJ-EGfaw,29.99,29.99,0.00,USD,18.73
N-vaUgNkSZKilJAyWDxkSQ,29.99,29.99,0.00,USD,19.99
172xlpZUTtOV3nB6kuIV_w,29.99,29.99,0.00,USD,19.04
FtuT8MwlR_2QTwuBR24fGg,29.99,29.99,0.00,USD,18.68
2KuBO-I7T3KKXrCDqyPcPw,29.99,29.99,0.00,USD,18.36
ydORk4jHS9aKeLXG5gwuZg,40.7864,40.7864,0.00,CAD,25.21
uhWD5GwxRM2EkVpBi7Q7TQ,29.99,29.99,0.00,USD,18.68
gyxCudmwTEq_Mb42_Rjgew,29.99,29.99,0.00,USD,19.99
8vBfeXg2QHWGmOaHNwpaIA,29.99,29.99,0.00,USD,19.99
lycY5xttTZeFphgT3VTASw,29.99,29.99,0.00,USD,18.86
EfmPn3unQviKp6AZMI6QCg,29.99,29.99,0.00,USD,19.99
wIeI8yOHSGeWmBnr-KmOog,29.99,29.99,0.00,USD,18.51
_Gvq_5dvTlSmAwYT8rSyww,29.99,29.99,0.00,USD,18.26
TqyTPMEhR-KnxupmPVB9bA,29.99,29.99,0.00,USD,18.86
3LnS4-hBQZaWA_3o9u7yPw,29.99,29.99,0.00,USD,19.99
csNuKuACSXeB5_kDdRi1xA,29.99,29.99,0.00,USD,18.86
KKnt5zc_RaOFDyPPUTkXXQ,29.99,29.99,0.00,USD,19.99
tMh7EX-vSS6nYwe9VSGqOw,29.99,29.99,0.00,USD,18.47
frp23hqQSgy3B0eVm4RvaQ,29.99,29.99,0.00,USD,18.64
E0JU7P-fTROQCqEeCH_LRA,29.99,29.99,0.00,USD,19.99
lt69CQIfQcGyf-FgVi64qQ,29.99,29.99,0.00,USD,19.99
q3ehuwIRTUqsl4lCdBQXDg,29.99,29.99,0.00,USD,19.99
wAgRpsHEQemBD4xkRDHPzA,29.99,29.99,0.00,USD,18.81
8tzQkox1RPqiAlZBr08y1Q,29.99,29.99,0.00,USD,18.68
8KTe7j25Rz2OZZApyx9SQA,29.99,29.99,0.00,USD,19.18
_vUugUWSQROfZFoWygCZAw,29.99,29.99,0.00,USD,19.99
Oc1zff8HS2GXCRcZ7GoLNg,29.99,29.99,0.00,USD,19.99
7_vHWPhJQLqszSszo10Xxg,29.99,29.99,0.00,USD,19.99
Yl9G2nznTO6vz_kEWIKIZQ,29.99,29.99,0.00,USD,19.99
Q1Pb0slZREif0OkxDDhBPQ,29.99,29.99,0.00,USD,19.99
LBTXSp3gTvacECKO6YgJXQ,29.99,29.99,0.00,USD,9.99
Msej8BoETYCfMeH5JZusuQ,29.99,29.99,0.00,USD,9.99
yiaGVc7UTdidvdDpY_LczQ,29.99,29.99,0.00,USD,18.86
6UQPtmgzTEewIx_9RpMv8g,29.99,29.99,0.00,USD,19.99
DATXTwiBT8GNikIdR8jehA,29.99,29.99,0.00,USD,19.99
FWvKyqMnSCmbFD_UJ1dzRw,29.99,29.99,0.00,USD,18.75
ZEwq9e8wT-qKuGOs7K5roQ,29.99,29.99,0.00,USD,18.34
oMFNK1AuQmaJFQ102Jwn4w,29.99,29.99,0.00,USD,18.6
7hs0qDkhThuVDyzRdKpACw,29.99,29.99,0.00,USD,19.99
raKUSe8lRRuL_uvxTWLwww,29.99,29.99,0.00,USD,18.68
wOW8glltR3CYqj3TPmUCeA,22.7924,22.7924,0.00,GBP,21
nvRHuNUiSu6jJ0LuXN2gOg,29.99,29.99,0.00,USD,9.99
q_TIyfxsQdqGbgACv6X3Lg,29.99,29.99,0.00,USD,19.99
9NajfogoTyye4MrQPpBFvQ,29.99,29.99,0.00,USD,18.86
mBRqWC4USx2DQu3qR2SiEA,29.99,29.99,0.00,USD,19.99
Ekb6jafcTT2f7GXC87OLOA,29.99,29.99,0.00,USD,19.99
XkMZGTP0QbqoGCrGTQsJZg,29.99,29.99,0.00,USD,19.99
3LmqFKonTZOAMQ0wm3UDkw,29.99,29.99,0.00,USD,19.99
1x2Arm_DTTmgPKM_W6UcXg,29.99,29.99,0.00,USD,18.86
8SkofXqjQH-hxfRSdVxapg,29.99,29.99,0.00,USD,19.99
2WjxLmuUQ_CY7__pctOYfA,29.99,29.99,0.00,USD,19.99
ADJu5ZNlRG6w81uvHRBEcw,29.99,29.99,0.00,USD,19.99
129lh_wpTPufPU8vrXgIKQ,29.99,29.99,0.00,USD,19.99
Q6RH89jfQN69juF2If1UOw,29.99,29.99,0.00,USD,19.99
wCA7YIdBTeWEdWqLBZC3cg,29.99,29.99,0.00,USD,18.86
uSeWi7GHRrWEeDaH7JOrGQ,29.99,29.99,0.00,USD,19.99
0QmkmEE0TZaRgFfox0dMsg,29.99,29.99,0.00,USD,18.86
FvdKqIJfQcqeyHcRCMoJ2g,29.99,29.99,0.00,USD,19.99
KUr-9DrVQv6K-_spX2n0FQ,29.99,29.99,0.00,USD,19.99
P2zrkNvBQ8qARctVeT4wug,29.99,29.99,0.00,USD,19.99
lkI6VIdwQ96jGkmysq2a7A,29.99,29.99,0.00,USD,18.86
YW45aBpCSOKw-X_xi22t6Q,29.99,29.99,0.00,USD,18.42
C8iZs1yVQ9mbN-lFwgL1jg,29.99,29.99,0.00,USD,19.99
in2Biq1ASd6Bdas4Tn7qDA,29.99,29.99,0.00,USD,19.99
3gv39mUyQfyFTBHQYcgPpg,29.99,29.99,0.00,USD,19.99
xoqIZAIdTVKaQ_RP7b_vFQ,29.99,29.99,0.00,USD,18.77
78X47v8gTEKxKnB3Q2u9pw,29.99,29.99,0.00,USD,18.51
B5aBS3m_Qa6ZTZGcDeyFWw,29.99,29.99,0.00,USD,19.99
UN2o_nV4QR-njnlnjyDlmg,29.99,29.99,0.00,USD,19.99
oAsFam-WRfamKaf2dyceow,29.99,29.99,0.00,USD,19.99
EbFT6FYdR7qXVbNO7-ifWA,29.99,29.99,0.00,USD,18.68
5s--KPf9RraacWt8kS_AOQ,29.99,29.99,0.00,USD,18.86
cZTRA1J-Tq6SHQOIpY2JNA,29.99,29.99,0.00,USD,19.99
kd35NBn7RzyKzlMETmznKw,29.99,29.99,0.00,USD,18.86
mFW4QWHzQdSaF63eUQvp9g,22.7924,22.7924,0.00,GBP,9.99
6xAGenb2Qt2-Cm7NkiqjOQ,29.99,29.99,0.00,USD,19.99
5lhbtz09RPS90kdU5fgdjw,29.99,29.99,0.00,USD,19.99
GAwx-qi2Tr2fIscLKavFAQ,29.99,29.99,0.00,USD,18.6
p5M2VQwuSfGSWk6415dDHQ,29.99,29.99,0.00,USD,19.99
jh-B_G5RTKGBn_Ajc29Peg,29.99,29.99,0.00,USD,19.99
Nk8-mzm8SpO_uSOVZ0gHvA,29.99,29.99,0.00,USD,19.99
QxBT8rR8TgGbLnPK_TciYw,29.99,29.99,0.00,USD,18.53
AfnXfub4T427mwHKi_tSCQ,29.99,29.99,0.00,USD,18.34
XTgYhIKJQWqg3Kfl6bu1Tw,26.991,26.991,0.00,EUR,24.99
Ttn6LOkmTfy2v0tEVltMYA,29.99,29.99,0.00,USD,18.6
58QoLmLQSAaI8jQO_aFWfA,29.99,29.99,0.00,USD,19.08
yXByaa1GRJmZHXuUQS7law,29.99,29.99,0.00,USD,19.99
V2oPpRatSeGXcJhaIunDrg,29.99,29.99,0.00,USD,19.99
cBnFlhR9RHSVIMidpiTNQw,29.99,29.99,0.00,USD,18.32
Dab7GpbGSuqzLP6pUA_BaQ,29.99,29.99,0.00,USD,19.99
zFqe2nTmTk2y0izLAkS5Kg,29.99,29.99,0.00,USD,19.99
-bDk521RSc-90VpA8K8Jsg,29.99,29.99,0.00,USD,19.99
I6CDxZ8eT9yRKh2WRKwNQA,29.99,29.99,0.00,USD,18.47
TQum_zHyQbiz9zAMMHaKog,29.99,29.99,0.00,USD,18.44
35ZPeoSeRZGCJJVbcl3kiQ,29.99,29.99,0.00,USD,19.99
WI78aqBITje8J18E7TW-pw,29.99,29.99,0.00,USD,18.86
Q33fA7qYTuS5lXKOoMo5kw,29.99,29.99,0.00,USD,19.99
AK1DxUGFQUuRmJkzVN960A,29.99,29.99,0.00,USD,9.99
VM0w0eBsQ5GguLVf8Z77fg,29.99,29.99,0.00,USD,18.64
Yj1Sggy3TE615Bnk4HDV-g,29.99,29.99,0.00,USD,18.68
CSd5PmiASh6iiiKYY7DLoA,598.0006,598.0006,0.00,MXN,391.99
ExTN5phaRl6BIS9v4-Nm2Q,29.99,29.99,0.00,USD,18.75
88Z2sinUQ_K7fOKXVHh7YQ,29.99,29.99,0.00,USD,14.99
ydchwU42T468UCpU2p6U4Q,29.99,29.99,0.00,USD,19.18
yYsLKxvuTCaFlNsTyCZkHA,29.99,29.99,0.00,USD,6.99
gvSEbTCOT0CoC_3naOmdQw,29.99,29.99,0.00,USD,18.68
aq1M24JMRcuPXaYRb4tICA,29.99,29.99,0.00,USD,19.99
hgLAieAHQWeGFjgkK3Ngpg,29.99,29.99,0.00,USD,18.68
fCaLiFBxSamrtfpzqSZNWQ,29.99,29.99,0.00,USD,19.99
G0ybFI_CRom1ndHI5Zhu1g,29.99,29.99,0.00,USD,18.64
4t4bcYIlTF2RQKz0ntqYvA,29.99,29.99,0.00,USD,18.59
qFR4CcvET325RihJCLLl9w,29.99,29.99,0.00,USD,19.99
6oJi2p5uSqWFma_HhjebEg,29.99,29.99,0.00,USD,18.64
ziFw75paQmitCk1rCKVixQ,29.99,29.99,0.00,USD,19.99
5hiWMBEqSMCdM78iFI6GLA,29.99,29.99,0.00,USD,19.99
sJitSWF3TJi191hQty7Wqw,29.99,29.99,0.00,USD,19.99
_5adXMqpQVyKFLWO5Z960g,29.99,29.99,0.00,USD,19.99
8tHai2f4Q1-AVI_aSC1OBw,29.99,29.99,0.00,USD,18.36
R024lKF0QoS7VF4as4yrVA,29.99,29.99,0.00,USD,19.99
7aphDOquRNqZg1mmTVw4hQ,29.99,29.99,0.00,USD,18.86
vMI2oWpdQ8uRuwsvL6RJUg,26.991,26.991,0.00,EUR,19.99
E0sWpHTXT6mezm4Hq8bXuA,22.7924,22.7924,0.00,GBP,18.99
GtCXrKUcSu-cEoNTKVcSQg,22.7924,22.7924,0.00,GBP,10.99
QPnS1AK1SDq_t-f1zf0ZjA,29.99,29.99,0.00,USD,18.47
IgV0usb3Sdq5GXrOOzzhzg,29.99,29.99,0.00,USD,19.99
ydV8_L-DQD2c3WCy1ju6DA,29.99,29.99,0.00,USD,19.99
XEHiTELiRteDcBN_9SFnsQ,29.99,29.99,0.00,USD,19.99
nYywkzo8S7iPD7vs3KoDqw,44.6851,44.6851,0.00,AUD,33.99
ZNSis3b7TKmFPnEtDC0vfw,29.99,29.99,0.00,USD,18.68
X2KrVqpXQ8-yuyirCkYsdg,22.7924,22.7924,0.00,GBP,23.99
G2TwF_bRTpOFYCvs0vOg9w,22.7924,22.7924,0.00,GBP,18.99
47RkFm6PRGuTH0L3ZOPdMA,29.99,29.99,0.00,USD,18.86
4UHUqd8ITciIQ_EMMIVlKA,29.99,29.99,0.00,USD,19.99
oGA8UFTVRwWOirpJduw5lA,29.99,29.99,0.00,USD,18.68
wpQVbHhXRy--MPNlkCN1Sg,29.99,29.99,0.00,USD,19.99
pE3VEoKGTl2NOurtRfNoIQ,29.99,29.99,0.00,USD,19.99
u7HTOYckRYKPo-3z1srjvw,29.99,29.99,0.00,USD,19.99
3VjkGmSjQFeNm5OhEi0Kwg,29.99,29.99,0.00,USD,19.99
juFdivH7Ryqxa9AQhFOkVQ,29.99,29.99,0.00,USD,19.99
cHfby74QS_q33OYu6z9AGQ,29.99,29.99,0.00,USD,19.99
-MGi7gtdTSumiFOtxy2Rig,29.99,29.99,0.00,USD,6.99
MLdo7AkLTl6ulbLZQwPP1A,29.99,29.99,0.00,USD,9.99
l88nx1iLR9mIK4I0fYvpTA,29.99,29.99,0.00,USD,19.99
sHKWjUGASO-3dxRrMYB_XQ,29.99,29.99,0.00,USD,19.99
D1GuqJxGSJO3A9b8QZGMdw,29.99,29.99,0.00,USD,19.99
Jk8Ww07wQriQal25ZuuiTQ,29.99,29.99,0.00,USD,19.99
piKNzxviRQmUZkyREzg7Zw,40.7864,40.7864,0.00,CAD,19.99
s3D3xAAEQc2TExlgbEAVEQ,29.99,29.99,0.00,USD,19.99
a3cBNWOHQ9Cp-fuG7HBZDw,29.99,29.99,0.00,USD,19.99
6B-jzFoeSNmaLsjJkj6Ekg,29.99,29.99,0.00,USD,19.99
x4aJ88ppTWuK3htlhXV1rw,22.7924,22.7924,0.00,GBP,18.99
xeyeRjPHSKy-CjOWHZ1ROw,29.99,29.99,0.00,USD,18.86
uq1lX34PTl6KMlex1dg2Kg,29.99,29.99,0.00,USD,19.99
79AHhvalT1-_dkzhCNpDKQ,29.99,29.99,0.00,USD,19.99
zFWNRgduRSScfNe2dw-LtQ,29.99,29.99,0.00,USD,19.99
7VV6OmdVQkyW1fiVJC6T4Q,29.99,29.99,0.00,USD,9.99
ieE0HC_dQcOks_YQ8bWiTw,29.99,29.99,0.00,USD,18.95
1KwrWxheQX-u6HsvLFLJbg,29.99,29.99,0.00,USD,19.99
imYz9pmLQYuUtyUkWfNY3Q,29.99,29.99,0.00,USD,9.99
OZoUP63JQjWcENrlyikYhA,29.99,29.99,0.00,USD,19.99
zdCPfpYiQt-hZdKsKb_IZg,40.7864,40.7864,0.00,CAD,27.99
l_I1ljpgQ1-8QFlVfJoEMg,29.99,29.99,0.00,USD,9.99
5Gr-GeQoRfCJNqQjhsNrCA,29.99,29.99,0.00,USD,19.99
YCsQFNEyTPqNqwd8jaCeuA,29.99,29.99,0.00,USD,18.64
U-V_puVqQfK47OirwUh_jw,29.99,29.99,0.00,USD,19.99
enewolrJSxKCroHU_fbYGQ,29.99,29.99,0.00,USD,19.99
Ecr9VCHxRqO-Iuls4on5Nw,29.99,29.99,0.00,USD,19.99
dRmuiKqZQhSdIzg7ZG2vQA,29.99,29.99,0.00,USD,19.99
Z4rOtoZuTnSXxbXdaQEVGA,29.99,29.99,0.00,USD,19.99
dxJPAbCWQImH_WmCS6MK4Q,29.99,29.99,0.00,USD,18.73
zUV6HLCqTemL84xbByv2VQ,29.99,29.99,0.00,USD,19.99
XA5BhyhTT06jk6VDCOzSAg,29.99,29.99,0.00,USD,9.99
YkrcSG5aTx-jjXxJZazYGQ,29.99,29.99,0.00,USD,18.86
n528nixbS3qhuH7bHsxtuA,29.99,29.99,0.00,USD,19.99
UDqx4DhfT-Gbw-w8uElaSA,29.99,29.99,0.00,USD,19.99
iMO5pcvVSK2n_UteflWXAA,29.99,29.99,0.00,USD,19.99
Aogobq38SL2MHdq_ssYjXw,29.99,29.99,0.00,USD,19.99
Y88nkqKzRK2pFprVj-sMyQ,29.99,29.99,0.00,USD,18.68
LM8ii6ZlRxG5a-eiTHfDXg,29.99,29.99,0.00,USD,19.99
OvXNqONWQWehRhA9xeaWAQ,29.99,29.99,0.00,USD,9.99
yBWDJyqIRsqXdYZDqcrAOw,29.99,29.99,0.00,USD,18.38
BZJeL18UTTKryexJtS18MA,29.99,29.99,0.00,USD,18.64
YVyz2p20QzarOXWPvZETzg,29.99,29.99,0.00,USD,18.64
VD38PyFLThGzU5taxIvFKQ,29.99,29.99,0.00,USD,18.68
ERMM-brOTUGhhNOC-qA_ew,29.99,29.99,0.00,USD,19.99
bWHU4cNDTB6J0s9d3pNQqA,29.99,29.99,0.00,USD,19.99
KevXUQbnQ8q5ubrx7ZnCJQ,29.99,29.99,0.00,USD,18.64
0ABgN5O5RIWV4SAUa2S_Qg,29.99,29.99,0.00,USD,18.4
ksyfBRbaTDKIccgtvWEdqA,29.99,29.99,0.00,USD,18.73
FLS2YN6ZRVKGwAiCrl6Dxw,29.99,29.99,0.00,USD,0.99
NAyPxv1ySpqZ07JyNQhj0Q,29.99,29.99,0.00,USD,19.99
7YW9yPOFSc6pLxtwkUcRPw,29.99,29.99,0.00,USD,19.99
wlSGHblDTeWzTRIyVvvKDA,29.99,29.99,0.00,USD,18.86
bsXKcoOjT9W2eX7xFQV53w,29.99,29.99,0.00,USD,19.99
ewrjYEBCS6K5lrsMFTR64g,29.99,29.99,0.00,USD,19.99
Pz_3h2_hSSu0AHSfGLdGrw,29.99,29.99,0.00,USD,9.99
SyymWHmdRTiYAD3YGr7YDg,29.99,29.99,0.00,USD,9.99
GM0Dxs50TGad1-QCMnVgcg,44.6851,44.6851,0.00,AUD,30.99
t-4IiAPQSWuTjBJ-9Ah3Lg,29.99,29.99,0.00,USD,0.99
yLoTQOBERge9itjIL8LKQw,29.99,29.99,0.00,USD,19.99
fMEyF699RzKtfemRQLBJBw,29.99,29.99,0.00,USD,9.99
gbCCZY4_QceOUhs5EKjCAQ,29.99,29.99,0.00,USD,9.99
jVtZG6RkSXKk07nwZdXDFg,29.99,29.99,0.00,USD,6.99
mgBaWezISDuFSplGk0Rq3A,29.99,29.99,0.00,USD,19.99
j6tOMC-0RlmTSnhgHrOtPA,29.99,29.99,0.00,USD,19.99
69FBcJggR-mfSTV6hUctbg,29.99,29.99,0.00,USD,19.99
NA1GMzdZT86vpLFX4fHiZA,29.99,29.99,0.00,USD,18.86
qZxhfgv6SqS7hvkU9b_wUA,29.99,29.99,0.00,USD,9.99
5sjfceKRTWOMU_uZBQ3lSA,40.7864,40.7864,0.00,CAD,25.99
